"income","current.single","trump.single","current.married","trump.married","diff.single","diff.married","pctincome.single","pctincome.married"
7340000,2858358.064,2404164.81,2843671.414,2384547.81,-454193.254,-459123.604,0.101345279361024,0.102110776652211
7350000,2862318.064,2407464.81,2847631.414,2387847.81,-454853.254,-459783.604,0.101355947343591,0.10212038290905
7360000,2866278.064,2410764.81,2851591.414,2391147.81,-455513.254,-460443.604,0.101366586648543,0.102129963426522
7370000,2870238.064,2414064.81,2855551.414,2394447.81,-456173.254,-461103.604,0.10137719739136,0.10213951830794
7380000,2874198.064,2417364.81,2859511.414,2397747.81,-456833.254,-461763.604,0.101387779686905,0.102149047656062
7390000,2878158.064,2420664.81,2863471.414,2401047.81,-457493.254,-462423.604,0.101398333649426,0.102158551573102
7400000,2882118.064,2423964.81,2867431.414,2404347.81,-458153.254,-463083.604,0.101408859392558,0.102168030160724
7410000,2886078.064,2427264.81,2871391.414,2407647.81,-458813.254,-463743.604,0.10141935702933,0.102177483520056
7420000,2890038.064,2430564.81,2875351.414,2410947.81,-459473.254,-464403.604,0.101429826672168,0.102186911751685
7430000,2893998.064,2433864.81,2879311.414,2414247.81,-460133.254,-465063.604,0.101440268432901,0.102196314955664
7440000,2897958.064,2437164.81,2883271.414,2417547.81,-460793.254,-465723.604,0.101450682422761,0.102205693231517
7450000,2901918.064,2440464.81,2887231.414,2420847.81,-461453.254,-466383.604,0.10146106875239,0.102215046678241
7460000,2905878.064,2443764.81,2891191.414,2424147.81,-462113.254,-467043.604,0.101471427531843,0.102224375394308
7470000,2909838.064,2447064.81,2895151.414,2427447.81,-462773.254,-467703.604,0.101481758870591,0.102233679477671
7480000,2913798.064,2450364.81,2899111.414,2430747.81,-463433.254,-468363.604,0.101492062877528,0.102242959025767
7490000,2917758.064,2453664.81,2903071.414,2434047.81,-464093.254,-469023.604,0.101502339660969,0.102252214135518
7500000,2921718.064,2456964.81,2907031.414,2437347.81,-464753.254,-469683.604,0.101512589328662,0.102261444903338
7510000,2925678.064,2460264.81,2910991.414,2440647.81,-465413.254,-470343.604,0.101522811987784,0.102270651425133
7520000,2929638.064,2463564.81,2914951.414,2443947.81,-466073.254,-471003.604,0.101533007744948,0.102279833796307
7530000,2933598.064,2466864.81,2918911.414,2447247.81,-466733.254,-471663.604,0.101543176706207,0.102288992111764
7540000,2937558.064,2470164.81,2922871.414,2450547.81,-467393.254,-472323.604,0.101553318977059,0.102298126465911
7550000,2941518.064,2473464.81,2926831.414,2453847.81,-468053.254,-472983.604,0.101563434662446,0.102307236952661
7560000,2945478.064,2476764.81,2930791.414,2457147.81,-468713.254,-473643.604,0.101573523866764,0.102316323665438
7570000,2949438.064,2480064.81,2934751.414,2460447.81,-469373.254,-474303.604,0.101583586693859,0.102325386697178
7580000,2953398.064,2483364.81,2938711.414,2463747.81,-470033.254,-474963.604,0.101593623247038,0.102334426140336
7590000,2957358.064,2486664.81,2942671.414,2467047.81,-470693.254,-475623.604,0.101603633629068,0.102343442086881
7600000,2961318.064,2489964.81,2946631.414,2470347.81,-471353.254,-476283.604,0.101613617942181,0.102352434628311
7610000,2965278.064,2493264.81,2950591.414,2473647.81,-472013.254,-476943.604,0.101623576288077,0.102361403855644
7620000,2969238.064,2496564.81,2954551.414,2476947.81,-472673.254,-477603.604,0.101633508767928,0.102370349859429
7630000,2973198.064,2499864.81,2958511.414,2480247.81,-473333.254,-478263.604,0.10164341548238,0.102379272729748
7640000,2977158.064,2503164.81,2962471.414,2483547.81,-473993.254,-478923.604,0.10165329653156,0.102388172556216
7650000,2981118.064,2506464.81,2966431.414,2486847.81,-474653.254,-479583.604,0.101663152015074,0.102397049427985
7660000,2985078.064,2509764.81,2970391.414,2490147.81,-475313.254,-480243.604,0.101672982032015,0.10240590343375
7670000,2989038.064,2513064.81,2974351.414,2493447.81,-475973.254,-480903.604,0.101682786680964,0.102414734661747
7680000,2992998.064,2516364.81,2978311.414,2496747.81,-476633.254,-481563.604,0.101692566059994,0.102423543199762
7690000,2996958.064,2519664.81,2982271.414,2500047.81,-477293.254,-482223.604,0.101702320266673,0.102432329135127
7700000,3000918.064,2522964.81,2986231.414,2503347.81,-477953.254,-482883.604,0.101712049398068,0.102441092554729
7710000,3004878.064,2526264.81,2990191.414,2506647.81,-478613.254,-483543.604,0.101721753550746,0.102449833545008
7720000,3008838.064,2529564.81,2994151.414,2509947.81,-479273.254,-484203.604,0.10173143282078,0.102458552191964
7730000,3012798.064,2532864.81,2998111.414,2513247.81,-479933.254,-484863.604,0.101741087303751,0.102467248581157
7740000,3016758.064,2536164.81,3002071.414,2516547.81,-480593.254,-485523.604,0.101750717094751,0.10247592279771
7750000,3020718.064,2539464.81,3006031.414,2519847.81,-481253.254,-486183.604,0.101760322288386,0.102484574926315
7760000,3024678.064,2542764.81,3009991.414,2523147.81,-481913.254,-486843.604,0.101769902978778,0.10249320505123
7770000,3028638.064,2546064.81,3013951.414,2526447.81,-482573.254,-487503.604,0.101779459259573,0.102501813256287
7780000,3032598.064,2549364.81,3017911.414,2529747.81,-483233.254,-488163.604,0.101788991223936,0.102510399624893
7790000,3036558.064,2552664.81,3021871.414,2533047.81,-483893.254,-488823.604,0.101798498964562,0.10251896424003
7800000,3040518.064,2555964.81,3025831.414,2536347.81,-484553.254,-489483.604,0.101807982573673,0.102527507184263
7810000,3044478.064,2559264.81,3029791.414,2539647.81,-485213.254,-490143.604,0.101817442143026,0.102536028539739
7820000,3048438.064,2562564.81,3033751.414,2542947.81,-485873.254,-490803.604,0.101826877763911,0.102544528388188
